arrivalTime,departureTime
2013-07-01 01:09:15,0
2013-07-01 02:55:56,0
0,2013-07-01 03:58:48
2013-07-01 04:07:19,0
0,2013-07-01 06:56:25
0,2013-07-01 07:00:12
2013-07-01 07:09:19,0
2013-07-01 07:13:20,0
2013-07-01 07:40:22,0
2013-07-01 07:43:08,0
2013-07-01 07:43:58,0
0,2013-07-01 08:11:13
2013-07-01 07:49:22,0
0,2013-07-01 07:58:42
2013-07-01 07:59:01,0
0,2013-07-01 08:24:36
2013-07-01 08:06:46,0
2013-07-01 08:09:21,0
2013-07-01 08:17:26,0
0,2013-07-01 08:39:09
2013-07-01 08:28:49,0
0,2013-07-01 08:39:29
2013-07-01 08:44:52,0
0,2013-07-01 09:17:17
0,2013-07-01 09:06:26
0,2013-07-01 09:16:24
0,2013-07-01 09:16:30
2013-07-01 09:16:50,0
2013-07-01 09:18:10,0
2013-07-01 09:31:04,0
0,2013-07-01 09:46:58
0,2013-07-01 10:11:15
2013-07-01 10:45:37,0
0,2013-07-01 12:31:26
0,2013-07-01 12:44:20
2013-07-01 12:41:55,0
0,2013-07-01 14:22:34
2013-07-01 14:16:30,0
0,2013-07-01 14:49:36
2013-07-01 15:00:50,0
0,2013-07-01 15:26:02
0,2013-07-01 16:00:03
0,2013-07-01 16:29:42
2013-07-01 16:24:48,0
2013-07-01 16:26:34,0
0,2013-07-01 16:33:03
2013-07-01 16:30:48,0
2013-07-01 16:33:32,0
0,2013-07-01 17:00:26
0,2013-07-01 17:15:20
2013-07-01 17:13:41,0
0,2013-07-01 17:21:53
2013-07-01 17:24:25,0
0,2013-07-01 18:11:55
2013-07-01 17:58:42,0
2013-07-01 17:58:55,0
0,2013-07-01 18:10:45
2013-07-01 18:07:17,0
0,2013-07-01 18:39:11
0,2013-07-01 18:31:45
0,2013-07-01 18:43:27
0,2013-07-01 18:46:07
0,2013-07-01 18:36:39
0,2013-07-01 18:36:30
2013-07-01 18:34:07,0
0,2013-07-01 18:42:06
0,2013-07-01 18:53:53
2013-07-01 18:46:58,0
2013-07-01 18:49:52,0
0,2013-07-01 19:18:00
0,2013-07-01 19:28:12
0,2013-07-01 19:19:50
0,2013-07-01 19:26:55
0,2013-07-01 19:30:48
0,2013-07-01 19:38:10
2013-07-01 19:16:00,0
2013-07-01 19:18:04,0
0,2013-07-01 19:29:45
0,2013-07-01 19:36:29
0,2013-07-01 19:49:00
0,2013-07-01 19:41:39
0,2013-07-01 19:41:11
0,2013-07-01 19:44:01
0,2013-07-01 19:56:49
2013-07-01 19:50:29,0
0,2013-07-01 20:00:33
2013-07-01 20:08:59,0
0,2013-07-01 20:23:10
2013-07-01 20:20:07,0
0,2013-07-01 20:34:04
0,2013-07-01 20:51:18
2013-07-01 20:31:07,0
0,2013-07-01 20:32:37
0,2013-07-01 21:04:38
0,2013-07-01 21:17:28
0,2013-07-01 21:16:22
0,2013-07-01 21:06:42
2013-07-01 21:05:35,0
2013-07-01 21:07:12,0
2013-07-01 21:07:19,0
0,2013-07-01 21:18:34
0,2013-07-01 21:36:31
2013-07-01 21:30:12,0
2013-07-01 22:13:39,0
0,2013-07-01 22:22:06
2013-07-01 22:24:38,0
0,2013-07-01 22:48:00
2013-07-01 22:32:44,0
0,2013-07-01 22:44:34
2013-07-01 22:44:06,0
2013-07-01 22:51:04,0
2013-07-01 22:52:06,0
0,2013-07-01 23:07:51
2013-07-01 23:07:54,0
0,2013-07-01 23:30:55
0,2013-07-01 23:44:48
2013-07-02 00:39:36,0
2013-07-02 01:38:25,0
2013-07-02 01:38:49,0
0,2013-07-02 06:19:36
0,2013-07-02 06:54:16
2013-07-02 06:34:43,0
2013-07-02 06:55:55,0
2013-07-02 07:30:38,0
2013-07-02 07:57:06,0
2013-07-02 08:02:02,0
2013-07-02 08:05:53,0
2013-07-02 08:08:00,0
2013-07-02 08:08:03,0
2013-07-02 08:08:47,0
2013-07-02 08:16:39,0
2013-07-02 08:16:55,0
2013-07-02 08:22:15,0
2013-07-02 08:23:53,0
2013-07-02 08:26:39,0
2013-07-02 08:27:11,0
2013-07-02 08:28:41,0
2013-07-02 08:28:43,0
0,2013-07-02 08:37:50
2013-07-02 08:32:07,0
2013-07-02 08:35:28,0
2013-07-02 08:39:06,0
2013-07-02 08:41:15,0
2013-07-02 08:42:14,0
2013-07-02 08:42:15,0
0,2013-07-02 09:02:28
2013-07-02 08:44:55,0
2013-07-02 08:46:31,0
0,2013-07-02 09:07:45
2013-07-02 08:50:16,0
2013-07-02 09:04:19,0
0,2013-07-02 09:26:37
2013-07-02 09:09:18,0
0,2013-07-02 09:33:23
2013-07-02 09:35:41,0
2013-07-02 09:37:00,0
0,2013-07-02 09:55:48
2013-07-02 09:55:13,0
2013-07-02 09:59:29,0
0,2013-07-02 10:07:40
0,2013-07-02 10:50:18
2013-07-02 10:23:07,0
0,2013-07-02 10:32:27
0,2013-07-02 10:48:52
0,2013-07-02 10:50:14
2013-07-02 10:51:08,0
2013-07-02 10:53:32,0
0,2013-07-02 11:18:04
2013-07-02 11:01:40,0
2013-07-02 11:09:57,0
0,2013-07-02 11:21:28
2013-07-02 11:32:13,0
2013-07-02 11:42:11,0
0,2013-07-02 12:09:02
2013-07-02 12:11:18,0
2013-07-02 12:14:13,0
0,2013-07-02 12:30:18
2013-07-02 12:37:43,0
0,2013-07-02 13:02:07
2013-07-02 13:09:24,0
0,2013-07-02 13:37:05
2013-07-02 13:38:17,0
0,2013-07-02 14:03:16
2013-07-02 13:51:46,0
0,2013-07-02 13:59:52
0,2013-07-02 14:00:05
0,2013-07-02 14:12:06
